2022-02-18 11:04:26,829 - USER_ID: a3a95cd5-69e8-4403-9b06-a4349e16567b | METHOD: GET | URL: /api/users/me | ARGS: {}
2022-02-20 20:00:39,568 - USER_ID: c6e5f4e6-13d5-4f73-aa42-4fc62eda9ba5 | METHOD: PUT | URL: /api/users/update-tariff | ARGS: {'tariff': 0, 'user_id': '3f739e1f-d293-4b22-905b-3c25397946ae'}
2022-02-20 20:00:39,589 - USER_ID: 3f739e1f-d293-4b22-905b-3c25397946ae | METHOD: POST | URL: /api/documents/dd0e049a-1ac4-48bb-86f7-faf96ee9155c/convert | ARGS: {}
2022-02-20 20:01:08,897 - USER_ID: 3f739e1f-d293-4b22-905b-3c25397946ae | METHOD: GET | URL: /api/documents/dd0e049a-1ac4-48bb-86f7-faf96ee9155c/previews | ARGS: {}
2022-02-20 20:01:08,909 - USER_ID: 3f739e1f-d293-4b22-905b-3c25397946ae | METHOD: GET | URL: /api/documents/076aa6a6-1c69-401b-b680-a2d81c3a7395/previews | ARGS: {}
2022-02-20 20:01:08,946 - USER_ID: 3f739e1f-d293-4b22-905b-3c25397946ae | METHOD: GET | URL: /api/documents/076aa6a6-1c69-401b-b680-a2d81c3a7395 | ARGS: {'body': ['0']}
2022-02-20 20:01:08,957 - USER_ID: 3f739e1f-d293-4b22-905b-3c25397946ae | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-20 20:01:08,970 - USER_ID: 3f739e1f-d293-4b22-905b-3c25397946ae | METHOD: GET | URL: /api/documents/ | ARGS: {'document_type': ['1']}
2022-02-20 20:01:08,980 - USER_ID: c6e5f4e6-13d5-4f73-aa42-4fc62eda9ba5 | METHOD: PUT | URL: /api/users/update-tariff | ARGS: {'tariff': 1, 'user_id': '3f739e1f-d293-4b22-905b-3c25397946ae'}
2022-02-20 20:01:08,994 - USER_ID: 3f739e1f-d293-4b22-905b-3c25397946ae | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:01:09,025 - USER_ID: 3f739e1f-d293-4b22-905b-3c25397946ae | METHOD: POST | URL: /api/documents/dd0e049a-1ac4-48bb-86f7-faf96ee9155c/convert | ARGS: {}
2022-02-20 20:01:38,937 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:01:39,104 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:01:39,297 - USER_ID: 242b88a4-18fd-4d7d-b253-d0a0ba8e7395 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:01:56,890 - USER_ID: 242b88a4-18fd-4d7d-b253-d0a0ba8e7395 | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-20 20:01:56,906 - USER_ID: 242b88a4-18fd-4d7d-b253-d0a0ba8e7395 | METHOD: GET | URL: /api/documents/ | ARGS: {'body': ['1']}
2022-02-20 20:01:56,934 - USER_ID: 242b88a4-18fd-4d7d-b253-d0a0ba8e7395 | METHOD: GET | URL: /api/documents/648f6a79-fac4-45c9-8262-2019c7fca3f3 | ARGS: {'body': ['0']}
2022-02-20 20:01:56,950 - USER_ID: 242b88a4-18fd-4d7d-b253-d0a0ba8e7395 | METHOD: POST | URL: /api/documents/648f6a79-fac4-45c9-8262-2019c7fca3f3/split | ARGS: {'pages': [1, 3, 6, 10]}
2022-02-20 20:02:05,025 - USER_ID: 242b88a4-18fd-4d7d-b253-d0a0ba8e7395 | METHOD: POST | URL: /api/documents/merge | ARGS: {'sources': [{'id': '648f6a79-fac4-45c9-8262-2019c7fca3f3'}, {'id': '7216cff3-6e3f-4210-b81e-16b98579c374'}]}
2022-02-20 20:02:32,985 - USER_ID: 242b88a4-18fd-4d7d-b253-d0a0ba8e7395 | METHOD: GET | URL: /api/documents/648f6a79-fac4-45c9-8262-2019c7fca3f3/download | ARGS: {'body': ['0']}
2022-02-20 20:02:33,040 - USER_ID: 242b88a4-18fd-4d7d-b253-d0a0ba8e7395 | METHOD: GET | URL: /api/documents/648f6a79-fac4-45c9-8262-2019c7fca3f3/download | ARGS: {'body': ['0']}
2022-02-20 20:02:33,105 - USER_ID: 242b88a4-18fd-4d7d-b253-d0a0ba8e7395 | METHOD: GET | URL: /api/documents/5d8e45bd-c98d-44d2-bc3a-8f1e2c770e72/download | ARGS: {'body': ['0']}
2022-02-20 20:02:33,179 - USER_ID: 242b88a4-18fd-4d7d-b253-d0a0ba8e7395 | METHOD: GET | URL: /api/users/me | ARGS: {}
2022-02-20 20:02:33,191 - USER_ID: 589cb71e-6055-4155-a74a-2900991e369d | METHOD: PUT | URL: /api/users/update-tariff | ARGS: {'tariff': 1, 'user_id': '242b88a4-18fd-4d7d-b253-d0a0ba8e7395'}
2022-02-20 20:02:33,202 - USER_ID: 242b88a4-18fd-4d7d-b253-d0a0ba8e7395 | METHOD: GET | URL: /api/documents/5d8e45bd-c98d-44d2-bc3a-8f1e2c770e72/download | ARGS: {'body': ['0']}
2022-02-20 20:02:33,711 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:02:33,894 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:02:34,142 - USER_ID: 9dd50238-30f1-42d5-b57b-2ac488a835c5 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:03:00,371 - USER_ID: 9dd50238-30f1-42d5-b57b-2ac488a835c5 | METHOD: POST | URL: /api/documents/f3c03210-8743-4461-95c7-91f6bdc268d9/split | ARGS: {'pages': [1, 2, 5]}
2022-02-20 20:03:05,563 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:03:05,734 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:22:40,449 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:22:40,697 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:22:41,130 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:22:41,329 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:22:41,519 - USER_ID: 1ae07d76-9dfd-4f9c-af45-5811c496456b | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:22:42,305 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:22:42,526 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:22:42,713 - USER_ID: 0b6a4e2b-f376-4d07-822a-24dee3cc4b77 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:22:48,406 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:22:48,575 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:22:48,801 - USER_ID: 18b9f3b7-04be-4a89-99bd-f1b387567f77 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:22:53,820 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:22:54,155 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:25:10,179 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:25:10,369 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:25:10,757 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:25:10,964 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:25:11,194 - USER_ID: 0a191709-858d-469a-987f-783cc17bdda5 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:25:11,478 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:25:11,654 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:25:11,916 - USER_ID: e2b29df1-4c76-47ba-8b87-2259545893ec | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:25:12,553 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:25:12,723 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:25:12,970 - USER_ID: 7e98632e-42be-475f-ae59-b7d3d303ce17 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:25:14,145 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:25:14,442 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:27:36,490 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:27:36,673 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:27:37,067 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:27:37,244 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:27:37,430 - USER_ID: b2088e91-5174-4054-b2f5-a0d1032d2c9a | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:27:37,967 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:27:38,181 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:27:38,372 - USER_ID: 3dedf0d2-f3a2-402e-aba1-2d580f469ba5 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:29:20,647 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:29:21,126 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:29:22,226 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:29:22,832 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:29:23,900 - USER_ID: 59019cff-dddf-48dc-9ff9-e4d04d789b83 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:29:24,982 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:29:25,165 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:29:25,423 - USER_ID: 96b8ec70-8bc7-4184-8b82-5972693392c9 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:29:32,322 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:29:32,491 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:29:32,679 - USER_ID: 6b6fb168-76ab-469e-bada-044055d4cbe1 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:29:39,018 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:29:39,215 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:31:07,396 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:31:07,593 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:31:08,010 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:31:08,182 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:31:08,357 - USER_ID: 40098320-4765-4a4b-bb8a-f8ee6316eb10 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:31:09,017 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:31:09,230 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:31:09,420 - USER_ID: 78cb9b4d-59f1-4d55-a4a2-284a9b04ef91 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:31:16,186 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:31:16,353 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:31:16,620 - USER_ID: 2b7c3dc3-af7a-4150-999d-c76694c90edf | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:31:23,188 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:31:23,445 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:33:12,411 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:33:12,595 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:33:12,938 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:33:13,126 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:33:13,332 - USER_ID: db417031-478f-4060-98a8-5735a909c2de | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:33:13,865 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:33:14,147 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:33:14,513 - USER_ID: b40166a7-7e28-4350-87c3-fc10769c5ed6 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:33:17,752 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:33:17,966 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:33:18,154 - USER_ID: cc7cf81b-a74b-4cb9-8f26-fb26d0b5ed01 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:33:20,230 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:33:20,413 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:35:06,820 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:35:07,004 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:35:07,413 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:35:07,580 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:35:07,771 - USER_ID: 98a98044-9e71-4411-89a2-00b50930b0bb | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:35:08,270 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:35:08,517 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:35:08,708 - USER_ID: a4c693e5-9e31-47a1-8ac9-853117c603de | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:38:40,653 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:38:40,821 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:38:41,093 - USER_ID: 228a8a9b-46f5-49ea-abcb-7c3197b1b397 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:50:28,525 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:50:28,725 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:50:29,232 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:50:29,401 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:50:29,612 - USER_ID: 2196dc86-9628-4cee-a897-f54f8b8bc6a9 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:50:30,229 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:50:30,401 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:50:30,615 - USER_ID: 7921317a-e58f-4c05-9f83-1ef0521335cf | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:50:32,598 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:50:33,001 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:50:33,492 - USER_ID: f2128ca3-81ce-4a20-b1bb-86bfa679bc19 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:50:34,761 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:50:34,968 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:52:20,039 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:52:20,221 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:52:20,629 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:52:20,796 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:52:21,006 - USER_ID: 7dbdd15e-7ff3-410f-9b4d-813915bba196 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 20:52:21,403 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 20:52:21,610 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 20:52:21,806 - USER_ID: 55c2ec8e-1d0d-4863-9a51-9358cd567a77 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 21:04:34,954 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 21:04:35,368 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 21:04:35,802 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 21:04:36,009 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 21:04:36,231 - USER_ID: a011e0cc-41bd-457c-8915-4bd2077a4062 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 21:04:37,014 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 21:04:37,211 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 21:04:37,426 - USER_ID: d30be9b8-1167-4db9-9939-33f7bd1667c8 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 21:05:22,321 - USER_ID: d30be9b8-1167-4db9-9939-33f7bd1667c8 | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-20 21:05:22,502 - USER_ID: d30be9b8-1167-4db9-9939-33f7bd1667c8 | METHOD: GET | URL: /api/documents/ | ARGS: {'body': ['1']}
2022-02-20 21:05:22,549 - USER_ID: d30be9b8-1167-4db9-9939-33f7bd1667c8 | METHOD: GET | URL: /api/documents/c3b943af-52d6-4b60-8b0c-bc8e5e54973b | ARGS: {'body': ['0']}
2022-02-20 21:05:22,600 - USER_ID: d30be9b8-1167-4db9-9939-33f7bd1667c8 | METHOD: POST | URL: /api/documents/c3b943af-52d6-4b60-8b0c-bc8e5e54973b/split | ARGS: {'pages': [1, 3, 6, 10]}
2022-02-20 21:05:30,998 - USER_ID: d30be9b8-1167-4db9-9939-33f7bd1667c8 | METHOD: POST | URL: /api/documents/merge | ARGS: {'sources': [{'id': 'c3b943af-52d6-4b60-8b0c-bc8e5e54973b'}, {'id': 'dc68ebb7-862a-4768-b460-f3bdf55a9b22'}]}
2022-02-20 21:05:57,902 - USER_ID: d30be9b8-1167-4db9-9939-33f7bd1667c8 | METHOD: GET | URL: /api/documents/c3b943af-52d6-4b60-8b0c-bc8e5e54973b/download | ARGS: {'body': ['0']}
2022-02-20 21:05:57,987 - USER_ID: d30be9b8-1167-4db9-9939-33f7bd1667c8 | METHOD: GET | URL: /api/documents/c3b943af-52d6-4b60-8b0c-bc8e5e54973b/download | ARGS: {'body': ['0']}
2022-02-20 21:05:58,083 - USER_ID: d30be9b8-1167-4db9-9939-33f7bd1667c8 | METHOD: GET | URL: /api/documents/a55964f9-59df-42b2-bdb4-779942b26262/download | ARGS: {'body': ['0']}
2022-02-20 21:05:58,143 - USER_ID: d30be9b8-1167-4db9-9939-33f7bd1667c8 | METHOD: GET | URL: /api/users/me | ARGS: {}
2022-02-20 21:05:58,161 - USER_ID: 7cdbc243-01fd-4837-96e4-c1bdb2d8f8c4 | METHOD: PUT | URL: /api/users/update-tariff | ARGS: {'tariff': 1, 'user_id': 'd30be9b8-1167-4db9-9939-33f7bd1667c8'}
2022-02-20 21:05:58,180 - USER_ID: d30be9b8-1167-4db9-9939-33f7bd1667c8 | METHOD: GET | URL: /api/documents/a55964f9-59df-42b2-bdb4-779942b26262/download | ARGS: {'body': ['0']}
2022-02-20 21:05:59,070 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 21:05:59,348 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 21:05:59,816 - USER_ID: b6d2b3bf-79cc-4df5-9b43-bec2491ae065 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 21:06:18,954 - USER_ID: b6d2b3bf-79cc-4df5-9b43-bec2491ae065 | METHOD: POST | URL: /api/documents/eef4a04e-eb42-4c14-a43d-e9cb2645d58a/split | ARGS: {'pages': [1, 2, 5]}
2022-02-20 21:06:25,570 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 21:06:25,851 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 21:24:20,209 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 21:24:20,398 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 21:24:20,779 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 21:24:20,986 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 21:24:21,285 - USER_ID: 804ed662-4fe6-41cf-825e-f16461e77f11 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 21:24:22,002 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 21:24:22,173 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 21:24:22,620 - USER_ID: b842985a-fc6f-4175-8596-03e5103bda57 | METHOD: POST | URL: /api/documents/ | 
2022-02-20 21:25:08,801 - USER_ID: b842985a-fc6f-4175-8596-03e5103bda57 | METHOD: GET | URL: /api/documents/ | ARGS: {}
2022-02-20 21:25:08,930 - USER_ID: b842985a-fc6f-4175-8596-03e5103bda57 | METHOD: GET | URL: /api/documents/ | ARGS: {'body': ['1']}
2022-02-20 21:25:08,958 - USER_ID: b842985a-fc6f-4175-8596-03e5103bda57 | METHOD: GET | URL: /api/documents/183a0410-468c-4622-825d-42599996cc3f | ARGS: {'body': ['0']}
2022-02-20 21:25:08,974 - USER_ID: b842985a-fc6f-4175-8596-03e5103bda57 | METHOD: POST | URL: /api/documents/183a0410-468c-4622-825d-42599996cc3f/split | ARGS: {'pages': [1, 3, 6, 10]}
2022-02-20 21:25:16,954 - USER_ID: b842985a-fc6f-4175-8596-03e5103bda57 | METHOD: POST | URL: /api/documents/merge | ARGS: {'sources': [{'id': '183a0410-468c-4622-825d-42599996cc3f'}, {'id': '5dc227d7-3745-4e3e-9c3e-1ddcb811fea6'}]}
2022-02-20 21:25:39,663 - USER_ID: b842985a-fc6f-4175-8596-03e5103bda57 | METHOD: GET | URL: /api/documents/183a0410-468c-4622-825d-42599996cc3f/download | ARGS: {'body': ['0']}
2022-02-20 21:25:39,725 - USER_ID: b842985a-fc6f-4175-8596-03e5103bda57 | METHOD: GET | URL: /api/documents/183a0410-468c-4622-825d-42599996cc3f/download | ARGS: {'body': ['0']}
2022-02-20 21:25:39,787 - USER_ID: b842985a-fc6f-4175-8596-03e5103bda57 | METHOD: GET | URL: /api/documents/43c5893b-6ca5-44b1-ba44-2d70ed98b18e/download | ARGS: {'body': ['0']}
2022-02-20 21:25:39,830 - USER_ID: b842985a-fc6f-4175-8596-03e5103bda57 | METHOD: GET | URL: /api/users/me | ARGS: {}
2022-02-20 21:25:39,853 - USER_ID: 18b3de4c-7897-4fe1-b4ab-f1edfa85e4a3 | METHOD: PUT | URL: /api/users/update-tariff | ARGS: {'tariff': 1, 'user_id': 'b842985a-fc6f-4175-8596-03e5103bda57'}
2022-02-20 21:25:39,865 - USER_ID: b842985a-fc6f-4175-8596-03e5103bda57 | METHOD: GET | URL: /api/documents/43c5893b-6ca5-44b1-ba44-2d70ed98b18e/download | ARGS: {'body': ['0']}
2022-02-20 21:25:40,382 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '12345'}
2022-02-20 21:25:40,581 - USER_ID: anonymous | METHOD: POST | URL: /api/users/login_device | ARGS: {'device_id': '54321'}
2022-02-20 21:25:40,767 - USER_ID: 0a5d907b-e195-4b72-a01c-3856f5f31dec | METHOD: POST | URL: /api/documents/ | 
2022-02-20 21:25:56,998 - USER_ID: 0a5d907b-e195-4b72-a01c-3856f5f31dec | METHOD: POST | URL: /api/documents/6c966f26-e397-416d-b67d-fa763e229978/split | ARGS: {'pages': [1, 2, 5]}
